geoid10,dscore_2013,ascore_2013,pscore_2013,total_score,pop,dist,acre_pp,park_pp
371830501001061,1,2,2,5,1,0.390749,0.022205,0.001144
371830537241045,3,5,5,13,31,1.918185,0,0
371830537241043,3,5,5,13,47,1.94053,0,0
371830528072025,2,4,4,10,4,0.86549,0.010303,0.000189
371830537131003,1,4,5,10,1432,0.503286,0.004246,8.2e-05
371830537241080,3,5,5,13,43,1.548784,0,0
371830536101011,3,5,5,13,804,1.782314,0,0
371830540083009,2,5,5,12,54,1.333104,0,0
371830528064005,3,5,5,13,29,1.628254,0,0
371830526031010,2,4,3,9,18,0.649655,0.009064,0.000828
371830501001064,1,2,1,4,5,0.055152,0.023582,0.002031
371830528061011,2,4,4,10,1,0.87416,0.010303,0.000189
371830505001031,1,4,1,6,20,0.13691,0.006299,0.001513
371830524011048,3,5,5,13,34,2.273481,0,0
371830523023019,3,5,5,13,76,1.66434,0,0
371830540141014,2,4,4,10,1309,1.065299,0.001332,0.00017
371830501001062,1,2,1,4,5,0.104854,0.023061,0.001805
371830506003017,1,4,1,6,28,0.15483,0.006185,0.001655
371830545003000,2,5,5,12,1874,1.383248,0,0
371830523023035,2,4,4,10,1,1.005335,0.00545,0.000141
371830506003018,1,4,1,6,34,0.19994,0.005033,0.001592
371830517003012,2,4,4,10,45,0.806325,0.004062,0.000127
371830541054019,1,4,4,9,5,0.300611,0.011337,0.000103
371830541062054,2,3,4,9,41,0.747698,0.016556,0.000185
371830507003009,1,4,2,7,19,0.309062,0.008484,0.001375
371830501001022,1,4,1,6,2,0.322591,0.006461,0.001721
371830545003030,2,5,5,12,31,1.312517,0,0
371830509002023,1,2,1,4,34,0.232397,0.026505,0.001513
371830537211047,3,5,5,13,1,2.061367,0,0
371830517003023,2,4,4,10,31,0.757903,0.008373,0.000528
371830537071006,2,5,4,11,2,0.965205,0,0.00013
371830540163011,3,5,5,13,4,1.634052,0,0
371830541041006,3,5,5,13,2,1.701459,0,0
371830505001021,1,4,1,6,64,0.20589,0.008227,0.001543
371830509001001,1,2,1,4,267,0.145266,0.02745,0.001944
371830541051029,3,5,5,13,45,2.089135,0,0
371830536101066,1,4,4,9,58,0.503742,0.001964,0.000197
371830518002016,1,4,3,8,26,0.42108,0.007749,0.000585
371830516001014,2,4,3,9,26,0.860804,0.005881,0.000607
371830516001021,2,4,4,10,69,0.726906,0.004688,0.000458
371830501001028,1,2,2,5,4,0.264221,0.022755,0.001317
371830514005010,1,4,3,8,73,0.014167,0.00815,0.000695
371830507003024,1,4,2,7,31,0.040258,0.004497,0.001358
371830506002011,1,4,2,7,15,0.016511,0.008737,0.001361
371830501001032,1,4,1,6,3,0.504857,0.006501,0.001454
371830501001001,1,4,1,6,14,0.077551,0.006475,0.001573
371830528033020,2,5,5,12,4,1.295501,0,0
371830507003034,1,4,2,7,27,0.260956,0.008484,0.001314
371830514004003,2,4,3,9,37,0.695133,0.007505,0.000675
371830523023028,1,4,4,9,3,0.471276,0.00545,0.000141
371830507003025,1,4,2,7,15,0.039928,0.004497,0.001358
371830530081022,1,1,5,7,5,0.008294,0.033889,7.2e-05
371830540133006,3,5,5,13,3,1.751268,0,0
371830508001015,1,2,1,4,4,0.002331,0.026594,0.001591
371830528064011,3,5,5,13,65,1.577404,0,0
371830541042003,1,1,4,6,6,0.191425,0.03317,0.0002
371830516004016,1,4,3,8,26,0.27106,0.005007,0.000651
371830541044010,2,5,5,12,4,1.428732,0,0
371830537093046,4,5,5,14,5,2.947196,0,0
371830501001017,1,4,1,6,47,0.319769,0.006461,0.001721
371830540151014,1,4,4,9,2,0.027066,0.003023,0.000139
371830501001117,1,2,1,4,20,0.145086,0.02745,0.001944
371830527011021,1,4,4,9,51,0.441434,0.002575,0.000102
371830527012004,2,5,5,12,20,1.390735,0,0
371830540082015,2,4,4,10,12,0.929661,0.005321,0.000225
371830545002057,3,5,5,13,3,1.895446,0,0
371830541061045,2,3,4,9,3,1.009687,0.016556,0.000185
371830541051007,3,5,5,13,6,2.15604,0,0
371830541102036,5,5,5,15,20,3.722677,0,0
371830516005004,2,4,3,9,47,0.760802,0.004843,0.000536
371830504002003,1,4,2,7,86,0.006461,0.003765,0.001014
371830536101087,2,4,4,10,41,1.285003,0.001964,0.000197
